企画ID,企画名,きかくめい,企画団体名,きかくだんたいめい,教室,公開時間21日,公開時間22日,ジャンル,パンフ原稿
2030,嚶鳴珈琲館,おうめいこーひーかん,カフェ運営サークル茶処,かふぇうんえいさーくるさどころ,2101,10：00~17：00,10：00~17：00,食べる,珈琲の旗が目印!通路の先に嚶鳴珈琲館はあります!学生が運営するこのカフェは値段が大変お安いですよ~寛ぎのひと時をどうぞ!
2001,JAZZ喫茶GROOVY,JAZZきっさGROOVY,JAZZ研究会RhythmSociety,JAZZけんきゅうかいRhythmSociety,2103,9：00~19：00,9：00~19：00,聞く,JAZZの生演奏を聴きながら、一休みしていかれませんか?美味しいスイーツとドリンクをご用意してお待ちしています!
2013,マジック喫茶,まじっくきっさ,九州大学マジックサークル,きゅうしゅうだいがくまじっくさーくる,2104,9：00~19：00,9：00~19：00,見る,あなたを不思議な世界へご招待!お菓子と飲み物をご用意してお待ちしております。ぜひお気軽にお立ち寄りください!
2031,ライブ喫茶Unplugged,らいぶきっさunplugged,Unplugged,Unplugged,2105,9：00~19：00,9：00~19：00,聞く,アコースティックギターの無料ライブを行っています。クッキーやドリンクも販売しておりますのでお気軽にお越しください。
2036,Nekken's Café,Nekken's Café,熱帯医学研究会,ねったいいがくけんきゅうかい,2106,9：00~19：00,9：00~19：00,食べる,海外のお茶や、美味しいお菓子を用意しています☆ぜひお越しください♪熱研の活動、カフェの様子については左のQRコードで!
2015,目指せ！<br>九大ポケモンマスター！,めざせ　ぽけもんますたー,九大ポケモン研究会<br>「きゅーぽけ」,きゅうだいぽけもんけんきゅうかい　きゅーぽけ,2108,9：00~19：00,9：00~19：00,遊ぶ,両日ともポケモンORASの対戦会を行います。成績優秀者には素敵な景品が!?見学もできますのでぜひお越しください!
2010,ROCK IN ONKAN.,ROCK IN ONKAN.,音楽鑑賞部,おんがくかんしょうぶ,2201,9：00~19：00,9：00~19：00,聞く,数多くの個性的なバンドが出演しライブパフォーマンスを行います。おんかんらしい、自由で多様な音楽に是非触れてみませんか?
2027,GameCenterQpic,GameCenterQpic,物理研究部,ぶつりけんきゅうぶ,2202,9：00~19：00,9：00~19：00,遊ぶ,今までに制作したオリジナルゲームを遊ぶことができます。ぜひ挑戦してください!オリジナルCDも販売しています。
2039,Be-Rock Live,Be-Rock Live,九州大学ロック研究会<br>Be-Rock,きゅうしゅうだいがくろっくけんきゅうかい　Be-Rock,2203,9：00~19：00,9：00~19：00,聞く,LiveHouse Be-Rock 2015 入場無料・出入り自由 コピーからオリジナルまで多数のバンドが出演します
2011,鉄道趣味の世界へ,てつどうしゅみのせかいへ,鉄道研究同好会,てつどうどうこうかい,2204,9：00~17：00,9：00~19：00,見る,鉄道研究同好会では500両以上の車両が走る鉄道模型のレイアウトや写真などの展示を行います。ぜひ一度お立ち寄りください!
2028,ザ・F.E.E.L.パーク,ざfeelぱーく,F.E.E.L.,FEEL,2205,9：00~19：00,9：00~19：00,遊ぶ,私たちF.E.E.L.では、ホバークラフトなど子供から大人まで楽しめる企画を用意しています!空いた時間にぜひどうぞ♪
2029,スマブラ64&DX<br>最強決定戦,すまぶら64&DXさいきょうけっていせん,九大スマブラサークル(QSS),きゅうだいすまぶらさーくる QSS,2206,9：00~19：00,9：00~19：00,遊ぶ,スマブラ64&DX大会開催予定!短時間参加可能な別イベントも用意する予定です!景品付き!ID:@kyudaissbm
2025,九大祭寄席,きゅうだいさいよせ,九州大学落語研究会,きゅうしゅうだいがくらくごけんきゅうかい,2207,10：30~17：30,10：30~17：30,見る,出入り自由飲食自由となっておりますのでいつでもお越しください。当日は紫色のはっぴの者がご案内いたします。
2004,モデルディベート,もでるでぃべーと,QDC（九州大学<br>ディベートクラブ）,QDC　きゅうしゅうだいがくでぃべーとくらぶ,2208,9：00~19：00,9：00~19：00,見る,愛とは―男女間の愛情、人への思いやり、神の無限の愛アガペー...。「愛」がテーマのディベートで愛について考えてみませんか?
