企画ID,企画名,きかくめい,企画団体名,きかくだんたいめい,日,時間,ジャンル,パンフ原稿
3007,「光GENKI」<br>スーパーライブ,ひかるGENKI　すーぱーらいぶ,九大アイドル企画<br>「光GENKI」,きゅうだいあいどるきかく　ひかるGENKI,21,9:00〜9:30,見る,笑いとユルさでクセになる!?九大生アイドルエンターテイメントの決定版! GENKI爆発な衝撃的ステージをお届けします☆彡
3006,ジャグリングショー,じゃぐりんぐしょー,九州大学ジャグリング<br>サークル9JUC,きゅうしゅうだいがくじゃぐりんぐさーくる 9JUC,21,10:00〜11:30,見る,世紀のびっくりどっきり曲芸ショー!!感動と興奮をあなたに!!
3002,書道部パフォーマンス,しょどうぶぱふぉーまんす,書道部,しょどうぶ,21,14:20〜15:50,見る,今年もやります!懐メロから今話題のあの曲に合わせた書道部とは思えない大迫力のパフォーマンスは見ないと損!お楽しみに!
3012,まんざ...エンター<br>テインメント!,まんざ　えんたーていんめんと,フラッシュエビフライ,ふらっしゅえびふらい,21,15:50〜16:00,見る,男女コンビ・フラッシュエビフライが九大祭を笑いの渦に巻き込みます!どぎついツッコミとエッジの効いたボケ、お見逃しなく!!
3004,song×smile,song×smile,Showboat,Showboat,21,16:00〜16:30,聞く,観客を笑顔にしたい!一緒に盛り上がりたい!目立ちたがり屋な2年生2人の歌唱パフォーマンス!ぜひ僕達の歌を聴いてください!
3007,「光GENKI」<br>スーパーライブ,ひかるGENKI　すーぱーらいぶ,九大アイドル企画<br>「光GENKI」,きゅうだいあいどるきかく　ひかるGENKI,21,16:30〜17:00,見る,笑いとユルさでクセになる!?九大生アイドルエンターテイメントの決定版! GENKI爆発な衝撃的ステージをお届けします☆彡
3001,アカペラライブ<br>～共～,あかぺららいぶ　きょう,アカペラサークルHarmoQ,あかぺらさーくるHarmoQ,21,18:00〜19:00,聞く,歌声だけの音楽、アカペラで、今年も伊都の大空、大地、そして「あなた」に華麗で壮大なハーモニーを届けます。とくとご覧あれ!
3010,三大学合同<br>演舞演奏会,さんだいがくごうどうえんぶえんそうかい,九州大学応援団,きゅうしゅうだいがくおうえんだん,22,10:00〜11:00,見る,押忍。九州大学応援団です。今年は大阪大学応援団と福岡大学応援団を誘致して演舞会をします。是非ご覧ください!
3004,song×smile,song×smile,Showboat,Showboat,22,11:30〜12:00,聞く,観客を笑顔にしたい!一緒に盛り上がりたい!目立ちたがり屋な2年生2人の歌唱パフォーマンス!ぜひ僕達の歌を聴いてください!
3003,チアリーディング,ちありーでぃんぐ,ETOILES,ETOILES,22,13:00〜13:15,見る,私たちETOILESは、元気でパワフルな演技を披露します。皆さん、一緒に盛り上がりましょう!
3009,フラダンス！,ふらだんす,kapuamakana九大,kapuamakanaきゅうだい,22,13:15〜13:30,見る,アロハ!私たちは4月に結成したばかりのフラダンスサークルです!可愛い衣装と素敵な振り付けをぜひ見に来てください!
3001,アカペラライブ<br>～共～,あかぺららいぶ　きょう,アカペラサークルHarmoQ,あかぺらさーくるHarmoQ,22,13:30〜15:00,聞く,歌声だけの音楽、アカペラで、今年も伊都の大空、大地、そして「あなた」に華麗で壮大なハーモニーを届けます。とくとご覧あれ!
3008,和太鼓の演奏・体験,わだいこのえんそう・たいけん,九州大学和太鼓サークル『華響』,きゅうしゅうだいがくわだいこさーくる　かきょう,22,15:00〜15:30,遊ぶ,和太鼓体験ぜひお越し下さい!半数初心者ながら地域の行事・お祭り等に参加しています!常時部員絶賛募集中!
3005,ATP Dance Stage,ATP Dance Stage,ATP,ATP,22,15:30〜17:00,見る,ストリートダンスサークルATP全員で皆さんに贈る、スペシャルダンスショーケースです!感動の舞台をお見逃しなく!
