企画ID,企画名,きかくめい,企画団体名,きかくだんたいめい,テント配置,公開時間21日,公開時間22日,ジャンル,パンフ原稿,
1113,おでん DE DIEGO,おでん DE DIEGO,F.C.DIEGO,F.C.DIEGO,A1,9：00~19：00,9：00~19：00,食べる,寒いほうがいい!なぜかって、そりゃ、おでんの美味しさが引き立つから。ということでDIEGOは今年もおでんやっちゃいます!,
1038,トロピカルドリンク,とろぴかるどりんく,医学部ソフトテニス部,いがくぶそふとてにすぶ,A2,9：00~19：00,9：00~19：00,食べる,医学部ソフトテニス部です!私たちは、トロピカルドリンクでみなさんのちょっとした喉の渇きを癒します。ぜひお立ち寄り下さい!,
1090,ナポレオン21世,なぽれおん21せい,Mild9ers,Mild9ers,A3,9：00~19：00,9：00~19：00,食べる,軟式野球サークルMild9ersです!今年はとにかく美味しいホットドッグを販売します!もう、とにかくおいしいです,
1030,ポテ☆CHAN,ぽてCHAN,CHANCE,CHANCE,A4,9：00~19：00,9：00~19：00,食べる,私たちは、安くてうまい!じゃがバター屋ポテ☆CHANを出店します。3種類のフレーバーのじゃがバターをぜひご賞味ください!,
1121,肉巻きおにぎり!,にくまきおにぎり,PLANET-Q,PLANET-Q,A5,9：00~19：00,9：00~19：00,食べる,「放課後は宇宙開発を」するのですが、「学祭は肉巻きおにぎりを」ということでPLANET-Qは肉巻きおにぎりを作ります!,
1109,☆ザキミヤの<br>フランクフルト☆,ざきみやのふらんくふると,九州大学水泳部1年,きゅうしゅうだいがくすいえいぶ1ねん,A6,9：00~19：00,9：00~19：00,食べる,ウルトラこんにちは!九州大学水泳部です。今年はなんとフランクフルトをやります。ぜひ一度お召し上がりくださいませ。,
1120,本格!!<br>スパイスカレー,ほんかくすぱいすかれー,九大カレー部,きゅうだいかれーぶ,A7,9：00~19：00,9：00~19：00,食べる,スパイスからオリジナルの本格カレーを振る舞います!①辛口カレー②甘口カレー③あいがけカレーを販売します!ご賞味あれ☆,
1093,お好み焼きZ,おこのみやきぜっと,バレーボール部,ばれーぼーるぶ,A8,9：00~19：00,9：00~19：00,食べる,今年もバレー部は広島風お好み焼きを販売します。みなさんぜひ食べに来てください!,
1084,ダーツ投げ名人<br>ヒロキ,だーつなげめいじんひろき,ZEUS(セパタクロー<br>同好会),ZEUS(せぱたくろーどうこうかい),A9,9：00~19：00,9：00~19：00,遊ぶ,ダーツです。爽やかトウキュー男子と女子と豪華景品が待ってます。楽しいんです、これが。,
1026,炊イーツケーキ,すいーつけーき,九州大学医学部卓球部,きゅうしゅうだいがくいがくぶたっきゅうぶ,A10,9：00~19：00,9：00~19：00,食べる,炊きました。,
1035,松田のたこ焼き,まつだのたこやき,McMoneagle,McMoneagle,A11,9：00~19：00,9：00~19：00,食べる,今回二度目の出店となるマクモではたこ焼きを提供します。関西出身プレイヤー主体のこだわりのたこ焼きをぜひご賞味ください!,
1049,アーリーの<br>はし巻き屋,あーりーのはしまきや,MNJ,MNJ,A12,9：00~19：00,9：00~19：00,食べる,九大、西南、福女合同グループのMNJは今年もはし巻きを出店します。様々なトッピングを自分で選べるはし巻き、是非食べにいらしてください☆,
1201,G30,じー30,ISU,ISU,A13,9：00~19：00,9：00~19：00,食べる,様々な国から来たIUPEが紹介するのは、様々な美味!韓国、インドネシア、ベトナムの伝統的な味をお楽しみ下さい。,
1205,Chicken World,ちきん　わーるど,いとをかし,いとをかし,A14,9：00~19：00,9：00~19：00,食べる,私たちは中国、ペルー、アルゼンチンの鶏料理を提供します!新たな発見があるかも?デザートもあるので是非どうぞ!,
1206,African culture,あふりかん　かるちゃー,Africans in Kyudai,Africans in Kyudai,A15,9：00~19：00,9：00~19：00,食べる,アフリカ出身九大生の学生団体ASKUはアフリカの揚げ物料理を作ります!この機会にアフリカを味わってください!,
1112,ハムハム☆ギョウザ,はむはむぎょうざ,GMKS,GMKS,A16,9：00~19：00,9：00~19：00,食べる,少し寒いこの季節にこそ餃子を食べてみませんか? スープ餃子に焼き餃子ととてもおいしく仕上がっています! Let'sハムハム!!,
1031,しかく(資格)い<br>ガレット!!!!!!,しかくいがれっと,箱崎ラッシュアワー!!!!!!,はこざきらっしゅあわー,A17,9：00~19：00,9：00~19：00,食べる,箱崎ラッシュアワー!!!!!!は資格取得サークルです。資格にかけて四角いガレットを販売します!ぜひ食べに来てください!,
1025,電情デンジャラス M@STER,でんじょうでんじゃらす　ますたー,電情デンジャラス,でんじょうでんじゃらす,A18,10：00~19：00,10：00~19：00,食べる,「プロデューサーさん!おいしい唐揚げですよ!唐揚げ!」あの電情デンジャラスが、“M@STER”になって帰ってきた!,
1096,猫丸,ねこまる,医学部空手道部,いがくぶからてどうぶ,A20,9：00~19：00,9：00~19：00,食べる,知るひとぞ知る...伝説の鶏料理屋犬丸。とは、無関係の当店は、ほかほかのじゃがバターと香ばしく炒めた砂ずりを提供します!,
1100,ホットサンド,ほっとさんど,大石ゼミ,おおいしぜみ,A21,9：00~19：00,9：00~19：00,食べる,私たち大石ゼミは去年に引き続き、ホットサンドを販売します。安くて美味しいホットサンド、ぜひ食べに来てください!,
1092,元祖モッフル屋,がんそもっふるや,九州大学ボランティア<br>サークル,きゅうしゅうだいがくぼらんてぃあさーくる,A22,9：00~19：00,9：00~19：00,食べる,九州大学ボランティアサークルはモッフルとぜんざいを販売します。売り上げの一部は募金します。みなさんをお待ちしています。,
1116,イカ☆パラ,いか　ぱら,Little Hands,Little Hands,A23,9：00~19：00,9：00~19：00,食べる,私たちは教育学系のサークルLittleHandsです。イカ焼きと飲物を販売します!絶品のイカ焼きをあなたに...。,
1204,極旨中華料理（KUFSA）,ごくうまちゅうかりょうり,Twinkle Generation,Twinkle Generation,A24,9：00~19：00,9：00~19：00,食べる,コーラで煮込んだお肉はジューシーでたまらない!八角、花山椒など薬膳入りの本格的な中華味!自信を持ってお勧めします!,
1202,世界の台所,せかいのだいどころ,KUIFA,KUIFA,A25,9：00~19：00,9：00~19：00,食べる,皮まで手作り水餃子、スパイスの効いた本格チャイ、タピオカ粉で作るヴェトナムのバナナケーキ。世界の味を是非ご賞味あれ!,
1203,セイロン食堂,せいろんしょくどう,Love Lanka,Love Lanka,A26,9：00~19：00,9：00~19：00,食べる,セイロン(スリランカ)の香りが良くヨダレがたれそうな、スパイシーで健康な料理を食べて、スリランカを体験してください。,
1110,BOUZパンケーキ,BOUZぱんけーき,海BOUZ,うみＢＯＵＺ,B1,9：00~19：00,9：00~19：00,食べる,ダイビングサークル海BOUZです!今年はパンケーキ焼いちゃいます♡食べ歩きOK!スイーツもおかずもあり!!ぜひ来てね!!!,
1118,広島風お好み焼き,ひろしまふうおこのみやき,九州大学軟式野球部,きゅうしゅうだいがくなんしきやきゅうぶ,B2,9：00~19：00,9：00~19：00,食べる,毎年大好評の広島風お好み焼きを今年もやります!! ボリューム満点です!!,
1061,ロシアンたこ焼き,ろしあんたこやき,九大学生フォーミュラ計画,きゅうだいがくせいふぉーみゅらけいかく,B3,9：00~19：00,9：00~19：00,食べる,初出店の今回、みんなで盛り上がるロシアンたこ焼きを販売します!是非お越しください!もちろん普通のたこ焼きもあります!,
1107,みんな大好き<br>ベルギーワッフル！,みんなだいすきべるぎーわっふる,Sweet Spot,Sweet Spot,B4,9：00~19：00,9：00~19：00,食べる,医歯薬系テニスサークルのスイスポでは、おいしいワッフルを販売します。アイスやチョコレートをのせたワッフルもあるので是非!,
1095,バブバブケバブ,ばぶばぶけばぶ,ラケットボール九大2,らけっとぼーるきゅうだい2,B5,9：00~19：00,9：00~19：00,食べる,ラケットボール九大2はケバブを販売します!!ケバブはトルコの肉料理。ぜひお越しください(^ω^),
1097,☆回転焼き☆,かいてんやき,九州大学ボート部,きゅうしゅうだいがくぼーとぶ,B6,9：00~19：00,9：00~19：00,食べる,こんにちは!ボート部は、今年は6種類の回転焼きを販売します。ぜひ来てください!,
1087,テディのたぴおか<br>みるくてぃ~,てでぃのたぴおかみるくてぃー,ハンドボール部,はんどぼーるぶ,B7,9：00~19：00,9：00~19：00,食べる,女子力満点の野郎どもが作る絶品のタピオカミルクティー!味勝負してます!ご賞味あれ!,
1104,や・き・そ・ば<br>じぇーな。,やきそばじぇーな,BABY BALLENA,BABY BALLENA,B8,9：00~19：00,9：00~19：00,食べる,男子ラクロス部1年、BABY BALLENA です!僕たちの愛のこもった焼きそばを提供します!ぜひお越しください!,
1059,たっぴゅう,たっぴゅう,T-Qbic,T-Qbic,B9,9：00~19：00,9：00~19：00,食べる,茹でたてもちもちのタピオカと甘~いジュースは相性バツグン!!種類も豊富です!!ホットドッグと一緒にいかがですか?,
1114,シャカシャカフェ,しゃかしゃかふぇ,シャカテニ,しゃかてに,C1,9：00~19：00,9：00~19：00,食べる,硬式テニスサークルシャカテニです!今年のシャカシャカフェはチュロス・鍋!甘いチュロス、あったかい鍋をぜひ食べにきてね!,
1071,地惑の魅惑な<br>星屑カステラ,ちわくのみわくなほしくずかすてら,地球惑星科学1年,ちきゅうわくせいかがく1ねん,C2,9：00~19：00,9：00~19：00,食べる,私たち地球惑星科学は星屑のかけらを追い求めて日々勉強しています。刹那的な輝きに魅せられた星屑のようなカステラご賞味あれ。,
1086,トヨタコス,とよたこす,RICK,RICK,C3,9：00~19：00,9：00~19：00,食べる,私たちRICKは毎年恒例☆タコスのお店を出します。その名もトヨタコス!美味しいタコスと素敵な笑顔をご提供いたします^^,
