企画ID,企画名,きかくめい,企画団体名,きかくだんたいめい,ジャンル,パンフ原稿,日,時間
4020,ステージ企画(ウエスト),すてーじきかく　うえすと,LiSAッ子くらぶッ!!,LiSAっこくらぶっ!!,聞く,LiSAさんのコピーバンドをしますっ! 良ければ観に来て下さいっ! 今日もいい日だっ!,21,10：00-10：30
4005,AWSC,AWSC,Be-Rock,Be-Rock,聞く,We love your POPSONGs.,21,10：30-11：00
4019,ライブ演奏,らいぶえんそう,Cabin,Cabin,聞く,3人でバンド演奏をします。みんな来てね。,21,11：00-11：30
4006,ライブ演奏,らいぶえんそう,Martens,Martens,聞く,オリジナルの曲をします。,21,11：30-12：00
4032,ライブ演奏,らいぶえんそう,S.H.I.E.L.D.,S.H.I.E.L.D.,聞く,歯学部から来ました!!ONE OK ROCKなどコピーします。クールに激しく!,21,12：00-12：30
4026,ライブ演奏,らいぶえんそう,LTE,LTE,聞く,Metallicaのコピバンですが、ベーシストは鶴次郎じゃなくてあのタクヤさんです!,21,12：30-13：00
4033,　,ぽんずあんどもんぜつ,ポンズアンド<br>モンゼツ,ぽんずあんどもんぜつ,聞く,ガンズアンドローゼズのコピーバンドです。ウェルカムトゥ伊都ジャングル!!,21,13：00-13：30
4013,情熱的なバンド演奏,じょうねつてきなばんどえんそう,ヘキチメンズ,へきちめんず,聞く,熱いビートでホットにするぜ!,21,13：30-14：00
4034,バンド同好会<br>ステージライブ,ばんどどうこうかい　すてーじらいぶ2,バンド同好会,ばんどどうこうかい,聞く,軽音楽サークル、バンド同好会によるステージでのバンド演奏です。,21,14：00-14：30
4021,ホーンセクション含む<br>バンド演奏,ほーんせくしょんふくむばんどえんそう,Superdry,Superdry,聞く,Superflyのコピーバンド。ビックな音量・音圧で伊都キャンパスを魅了します!,21,14：30-15：00
4029,Babylon_Stage34,Babylon_Stage34,ラウドナス,らうどなす,聞く,お待ちしてナス!,21,15：00-15：30
4009,ZAP神伝 -第二章-,ZAPしんでん　-だいにしょう-,ZAP神伝 -第二章-,ZAPしんでん　だいにしょう--,聞く,Helloweenやるよおおおおんんんん!!!,21,15:30-16:00
4010,日笠てへぺろうず<br>(・ω＜)☆,ひかさてへぺろうず,日笠てへぺろうず(・ω＜)☆,ひかさてへぺろうず(・ω＜)☆,聞く,日笠てへぺろうずですてへぺろ(・ω<)☆今年もアニソンやりますてへぺろ(・ω<)☆,21,16:00-16:30
4011,OPP PROJECT,OPP PROJECT,JAM Projectコピーバンド,JAM　Projectこぴーばんど,聞く,JAM Projectのコピバンが2年ぶりに帰ってきました。中の人達は本家同様お年を召しましたが、熱く盛り上がろうZ!,21,16：30-17：00
4030,TREASURE 949,TREASURE 949,スマイルギャング<br>水樹,すまいるぎゃんぐみずき,聞く,画像はアバンギャルドではなくスマイルギャングです。スマイルギャング水樹に~?かかってこーい!!,21,17：00-17：30
4017,slipknotコピーバンド,slipknotこぴーばんど,slipnot,slipnot,聞く,If You're 555 then I'm 666.,21,17：30-18：00
4007,ワリオヘッド,わりおへっど,ワリオヘッド,わりおへっど,聞く,最高のゴミ音楽を披露します。(Radiohead),21,18：00-18：30
4039,ライブ演奏,らいぶえんそう,949プロダクション,949ぷろだくしょん,聞く,アイドルマスター楽曲のコピーバンド,21,9：00-9：30
4038,ライブ演奏,らいぶえんそう,平重度〜タイラノ<br>シゲタビ〜,たいらのしげたび,聞く,ビートルズの人気曲を文学部ボーイズ&関西ガールでおとどけします。Voししょー Gハマー Bキョロスケ Dよしまさ,21,9：30-10：00
4015,狂うり'15,くるうり　15,九大祭ツアー～百鬼夜行～,きゅうだいさいつあー　ひゃっきやこう,聞く,私たちはくるりというバンドのコピーをします。くるり好きな方も、あまり知らない方もぜひお越しください!楽しいですよ!,22,10：00-10：30
4008,ライブ演奏,らいぶえんそう,COB24/7,COB24/7,聞く,フィンランドのメタルバンド、Children Of Bodomのコピーをします。好きな人も知らない人も異世界へようこそ,22,10：30-11：00
4023,ライブ演奏,らいぶえんそう,Side Dish Lane,Side Dish Lane,聞く,Be-ROCKに所属するSide Dish Laneというバンドです。ファンクやブルースを中心に演奏します。,22,11：00-11：30
4022,ライブ演奏,らいぶえんそう,Freak,Freak,聞く,軽音楽サークルBe-ROCKに所属するFreakというバンドです。ジャズファンクやファンキーなポップスを演奏します。,22,11：30-12：00
4012,歴史を学ぼう,れきしをまなぼう,フジモトヒロシ,ふじもとひろし,聞く,縄文土器、弥生土器、どっちが好きですかー!!!,22,12：00-12：30
4001,ライブ演奏,らいぶえんそう,節子それドロップやない！andropや！,せつこそれどろっぷやない　あんどろっぷや,聞く,医学部軽音部所属のバンドです。節子は関係ありません。andropのコピバンやります。,22,12:30-13：00
4031,ライブ演奏,らいぶえんそう,CHANMEEo,CHANMEEo,聞く,米津玄師のコピーバンド、アルバムYANKEEから演奏します。ぜひ足を止めてお聴きください,22,13：00-13：30
4028,妥協案(炎殺黒龍波),だきょうあん,LiSAバンド,LiSAばんど,聞く,今回は九大祭でサイッコー!のデートしよーね☆何でもあLiSA-!って感じで、でら楽しんじゃお♡今日もいい日だっ!!,22,13：30-14：00
4024,ライブ演奏,らいぶえんそう,アベンジャーズ,あべんじゃーず,聞く,カシオペアやスクエアとかフュージョンのコピーやります。医軽音の現部長、元部長、元副部長が出るので是非見に来てください!,22,14：00-14：30
4014,Sanoon5,Sanoon5,Sanoon5,Sanoon5,聞く,⊂((・x・))⊃まるーん5やるよ,22,14：30-15：00
4016,ライブ演奏,らいぶえんそう,3³,すりーきゅーぶ,聞く,3³です!3-27のメンバー4人でいろいろな曲を演奏します!野郎の奏でる音色をお楽しみください!,22,15：00-15：30
4040,上空39㎝,じょうくう39センチ,上空39㎝,じょうくう39センチ,聞く,ちょっと浮いてる九大のオリジナルバンド。,22,15：30-16：00
4002,稲葉☆松本,いなば　まつもと,稲葉松本,いなばまつもと,聞く,B'zのコピーをします!みなさんも知ってる曲ばかりなので、ぜひ一緒に体を動かして聴いてください☆,22,16：00-16：30
4036,バンド同好会<br>ステージライブ,ばんどどうこうかい　すてーじらいぶ,バンド同好会,ばんどどうこうかい,聞く,軽音楽サークル、バンド同好会によるステージでのバンド演奏です。,22,16：30-17：00
4027,バンプ オフ チキン,ばんぷおふちきん,音楽鑑賞部,おんがくかんしょうぶ,聞く,BUMP OF CHICKENのコピーをやります。楽しくやるので、ぜひお聴きください~!,22,17：00-17：30
4003,音楽鑑賞部ライブ,おんがくかんしょうぶらいぶ,音楽鑑賞部,おんがくかんしょうぶ,聞く,こんにちは!音楽鑑賞部所属のchou-2ch-ocolateです。今年はメンバーの卒業などにより活動最後の年となります。,22,17：30-18：00
4018,ライブ演奏,らいぶ演奏,坂本真綾,さかもとまあや,聞く,坂本真綾さんのコピーをします。良ければ観に来て下さい。,22,9：00-9：30
4041,オリジナルバンド,おりじなるばんど,Tinky,Tinky,聞く,Tinky=多くの人にcoolな音楽を届けるため、サークル、学部の垣根を越えて集まったバンド。BIGになる！,22,9：30-10：00
4037,バンド同好会<br>ステージライブ,ばんどどうこうかい　すてーじらいぶ,バンド同好会,ばんどどうこうかい,聞く,軽音楽サークル、バンド同好会によるステージでのバンド演奏です。,22,16：30-17：00
